unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,HU	55 	150 	190 	325 	405 	685 	840 	480 	775 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,IE	2425 	3400 	2765 	1325 	690 	580 	210 	530 	690 	350 	645 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,IS	10 	30 	10 	0 	15 	70 	30 	70 	155 	555 	375 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,IT	30 	1525 	1530 	1505 	1235 	95 	55 	20 	9770 	12590 	42970 	35500 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,LI	0 	75 	60 	55 	70 	35 	0 	20 	30 	5 	55 	10 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,LT	35 	55 	65 	30 	215 	35 	15 	10 	5 	40 	25 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,LU	480 	205 	190 	375 	905 	670 	740 	470 	320 	315 	255 	170 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,LV	15 	15 	15 	20 	50 	55 	35 	70 	45 	45 	40 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,MT	225 	475 	325 	505 	435 	140 	260 	370 	325 	395 	685 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,NL	800 	685 	1350 	2760 	1530 	1895 	1445 	1085 	1760 	2180 	1955 	2080 
